ID,Name,IsTestObject,Active,Type,IsCommercial,ChargesRCC,PCE,CO2,CustomerChg,DemandCharge,NameShort,Blocks
541,Central Electric - Commercial - Lg,0,1,1,1,1,0.4499,2.753425,12.0,0.0,Centra,"[(nan, np.float64(0.746478)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
542,Chalkyitsik Village Energy - Commercial - Lg,0,1,1,1,0,0.5025,2.430724,,0.0,Chalky,"[(nan, 0.95), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
543,Chenega Bay - Commercial - Lg,0,1,1,1,0,0.7608,2.093737,,0.0,Cheneg,"[(nan, 1.12), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
544,Chignik Lake Electric Utility - Commercial - Lg,0,1,1,1,0,0.4119,2.7239,5.0,0.0,Chigni,"[(nan, 0.7), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
545,"Chignik, City of - Commercial - Lg",0,1,1,1,0,0.3808,1.742497,0.0,0.0,Chigni,"[(nan, 0.638), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
546,APT- Chistochina - Commercial - Lg,0,1,1,1,1,0.5088,1.771758,70.0,52.61,APT- C,"[(nan, np.float64(0.674878)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
547,Chitina Electric - Commercial - Lg,0,1,1,1,0,0.6501,2.356347,25.0,0.0,Chitin,"[(nan, 1.1), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
548,Chugach Electric South - Commercial - Lg,0,1,1,1,1,,0.7572226,55.0,36.67,Chugac,"[(nan, np.float64(0.11173799999999999)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
549,Circle Elec Utility - Commercial - Lg,0,1,1,1,0,0.5191,2.185336,,0.0,Circle,"[(nan, 1.01), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
550,APT- Coffman Cove - Commercial - Lg,0,1,1,1,1,0.0961,0.1591897,70.0,16.82,APT- C,"[(nan, np.float64(0.264378)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
551,Copper Valley Electric Assn 1 - Commercial - Lg,0,1,1,1,0,,0.6005461,100.0,12.0,Copper,"[(10000.0, 0.1954), (nan, 0.16999999999999998), (nan, nan), (nan, nan), (nan, nan)]"
552,Copper Valley Electric Assn 2 - Commercial - Lg,0,1,1,1,0,,0.6005461,100.0,12.0,Copper,"[(25000.0, 0.18539999999999998), (nan, 0.14739999999999998), (nan, nan), (nan, nan), (nan, nan)]"
553,Cordova Electric Cooperative - Commercial - Lg,0,1,1,1,0,0.0839,0.5688799,61.25,8.78,Cordov,"[(5000.0, 0.3339), (20000.0, 0.31050044099999996), (nan, 0.28679992099999996), (nan, nan), (nan, nan)]"
554,APT- Craig - Commercial - Lg,0,1,1,1,1,0.0961,0.1591897,70.0,16.82,APT- C,"[(nan, np.float64(0.264378)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
555,Diomede Joint Utilities - Commercial - Lg,0,1,1,1,0,0.2598,2.725553,35.0,0.0,Diomed,"[(nan, 0.93), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
556,APT- Dot Lake - Commercial - Lg,0,1,1,1,1,0.3373,1.745148,70.0,27.63,APT- D,"[(nan, np.float64(0.425978)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
557,APT- Eagle Village - Commercial - Lg,0,1,1,1,1,0.6072,2.060729,70.0,52.61,APT- E,"[(nan, np.float64(0.778478)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
558,Egegik Light & Power - Commercial - Lg,0,1,1,1,0,0.4508,2.114206,0.0,0.0,Egegik,"[(nan, 0.65), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
559,AVEC- Ekwok - Commercial - Lg,0,1,1,1,0,0.4991,1.742509,60.0,45.0,AVEC- ,"[(1500.0, 0.5495), (nan, 0.4535), (nan, nan), (nan, nan), (nan, nan)]"
560,Elfin Cove Electric - Commercial - Lg,0,1,1,1,0,0.514,2.345662,,0.0,Elfin ,"[(nan, 0.74), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
561,Enstar Natural Gas - G3,0,1,2,1,1,,,138.0,0.0,Enstar,"[(nan, np.float64(1.1285098199999999)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
562,APT- Evansville - Commercial - Lg,0,1,1,1,1,0.7564,2.027641,70.0,52.61,APT- E,"[(nan, np.float64(0.981278)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
563,Fairbanks Natural Gas - Commercial - Lg,0,1,2,1,1,,,72.0,0.0,Fairba,"[(nan, np.float64(2.0711779999999997)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
564,False Pass Electric - Commercial - Lg,0,1,1,1,0,0.4854,2.031942,,0.0,False ,"[(nan, 0.719), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
565,"G&K, Inc - Commercial - Lg",0,1,1,1,1,0.7608,2.118109,12.5,7.05,"G&K, I","[(nan, np.float64(1.115778)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
566,Galena Electric Utility - Commercial - Lg,0,1,1,1,0,0.3764,1.917758,11.2,0.0,Galena,"[(nan, 0.6723), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
567,Golden Valley Electric - Com- Lg GS2S,0,1,1,1,1,,2.358446,50.0,26.64,Golden,"[(nan, np.float64(0.18426800000000002)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
568,"Golovin, City of - Commercial - Lg",0,1,1,1,0,0.3133,2.139312,,0.0,Golovi,"[(nan, 0.53), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
569,APT- Gustavus - Commercial - Lg,0,0,1,1,1,,1.9,,0.0,APT- G,"[(nan, nan), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
570,Gwitchyaa Zhee Utility Co - Commercial - Lg,0,1,1,1,1,0.7608,2.082066,0.0,0.0,Gwitch,"[(100.0, np.float64(1.177578)), (400.0, np.float64(1.102678)), (500.0, np.float64(1.027778)), (1000.0, np.float64(0.9527779999999999)), (nan, np.float64(0.922878))]"
571,APT- Haines - Commercial - Lg,0,1,1,1,1,,0.1102586,70.0,11.66,APT- H,"[(nan, np.float64(0.248678)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
572,APT- Healy Lake - Commercial - Lg,0,1,1,1,1,,1.5,70.0,52.61,APT- H,"[(nan, np.float64(1.3720780000000001)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
573,APT- Hollis - Commercial - Lg,0,1,1,1,1,0.0961,0.1591897,70.0,16.82,APT- H,"[(nan, np.float64(0.264378)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
574,Homer Electric Assn - Commercial - Lg,0,1,1,1,1,,1.028624,50.0,23.059,Homer ,"[(nan, np.float64(0.220771)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
575,Homer Electric Assn Remote - Commercial - Lg,0,0,1,1,1,,1.5,40.0,7.7386,Homer ,"[(3000.0, np.float64(0.147688)), (nan, np.float64(0.133158)), (nan, nan), (nan, nan), (nan, nan)]"
576,Hughes Power & Light Co - Commercial - Lg,0,1,1,1,0,0.5459,2.275382,,0.0,Hughes,"[(nan, 0.91), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
577,APT- Hydaburg - Commercial - Lg,0,1,1,1,1,0.0961,0.1591897,70.0,16.82,APT- H,"[(nan, np.float64(0.264378)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
578,Igiugig Village Council - Commercial - Lg,0,1,1,1,0,0.7165,2.008079,5.0,0.0,Igiugi,"[(nan, 0.9157), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
579,"I-N-N Electric Cooperative, Inc - Commercial - Lg",0,1,1,1,0,0.3956,0.02588284,19.5,0.0,I-N-N ,"[(1000.0, 0.52), (15000.0, 0.49), (nan, 0.4387), (nan, nan), (nan, nan)]"
580,Inside Passage Electric Coop - Commercial - Lg,0,1,1,1,1,0.407,1.378304,55.0,15.94,Inside,"[(nan, np.float64(0.7003780000000001)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
581,Ipnatchiaq Electrric Co - Commercial - Lg,0,1,1,1,0,0.4647,1.609351,19.25,0.0,Ipnatc,"[(nan, 0.68), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
582,APT- Kasaan -  Commercial - Lg,0,1,1,1,1,0.0961,0.1591897,70.0,16.82,APT- K,"[(nan, np.float64(0.264378)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
583,"Ketchikan, City of - Commercial - Lg",0,1,1,1,0,,0.1136134,18.15,3.06,Ketchi,"[(nan, 0.0989), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
584,"King Cove, City of - Commercial - Lg",0,1,1,1,0,0.0001,0.2065458,0.0,0.0,King C,"[(nan, 0.3), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
585,Kipnuk Light Plant - Commercial - Lg,0,1,1,1,1,0.491,1.441385,,0.0,Kipnuk,"[(nan, np.float64(0.691378)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
586,APT- Klawock - Commercial - Lg,0,1,1,1,1,0.0961,0.1591897,70.0,16.82,APT- K,"[(nan, np.float64(0.264378)), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
